Unnamed: 0,region_code,order_submited_date,order_submited_datetime,parent_category,category,product_id,product_name,cost,benchmark,median_bench,avg_bench,max_bench,gross_price,net_price,quantity,product_step_unit,benchmark_count
204081,BOG,2023-10-16,2023-10-16 05:30,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
234526,BOG,2023-10-16,2023-10-16 05:30,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,3.0,1.0,1.0
281506,BOG,2023-10-16,2023-10-16 05:30,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
319375,BOG,2023-10-16,2023-10-16 06:03,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,4.0,1.0,1.0
119427,BOG,2023-10-16,2023-10-16 06:05,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
196870,BOG,2023-10-16,2023-10-16 09:28,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3668.21,6.0,1.0,1.0
143573,BOG,2023-10-16,2023-10-16 10:28,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,2.0,1.0,1.0
201781,BOG,2023-10-16,2023-10-16 10:28,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,3.0,1.0,1.0
88440,BOG,2023-10-16,2023-10-16 10:28,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
169328,BOG,2023-10-16,2023-10-16 11:50,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3775.24,5.0,2.5,1.0
283736,BOG,2023-10-16,2023-10-16 11:50,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
279621,BOG,2023-10-16,2023-10-16 12:18,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
308340,BOG,2023-10-16,2023-10-16 12:18,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
298374,BOG,2023-10-16,2023-10-16 12:19,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
92073,BOG,2023-10-16,2023-10-16 12:19,Frutas & verduras,Verduras,353982459564085093,Rabano Estándar Kg,3064.8017,4000.0,4000.0,4000.0,4000.0,4320.0,4320.0,0.5,0.5,1.0
111579,BOG,2023-10-16,2023-10-16 12:19,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
19308,BOG,2023-10-16,2023-10-16 12:25,Frutas & verduras,Verduras,353982459564085093,Rabano Estándar Kg,3064.8017,4000.0,4000.0,4000.0,4000.0,4320.0,4320.0,0.5,0.5,1.0
169329,BOG,2023-10-16,2023-10-16 12:32,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
286113,BOG,2023-10-16,2023-10-16 12:37,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
143574,BOG,2023-10-16,2023-10-16 12:45,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,2.5,2.5,1.0
145017,BOG,2023-10-16,2023-10-16 12:45,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
288329,BOG,2023-10-16,2023-10-16 12:46,Frutas & verduras,Verduras,5533752035170569793,Cebolla Cabezona Roja Limpia Tamaño Mixto Kg (Tamaño 🏠),6373.9778,3500.0,3500.0,3500.0,3500.0,3843.72,3640.0,1.0,1.0,1.0
61720,BOG,2023-10-16,2023-10-16 12:57,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1380.0,1380.0,3.0,3.0,1.0
216497,BOG,2023-10-16,2023-10-16 13:06,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
140252,BOG,2023-10-16,2023-10-16 13:06,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,2.5,2.5,1.0
234527,BOG,2023-10-16,2023-10-16 13:07,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3668.21,8.0,1.0,1.0
321597,BOG,2023-10-16,2023-10-16 13:09,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3298.0,2.5,2.5,1.0
221934,BOG,2023-10-16,2023-10-16 13:12,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1250.0,1216.25,5.0,5.0,1.0
